name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
d2f-040-50-7x7,3129,3023,3023,3023.0,3023.0,0.12987303733825684,0.0,6,"[18, 9, 24, 16, 37, 39, 15, 20, 35, 34, 1, 26, 44, 45, 17, 10, 3, 13, 19, 29, 4, 49, 2, 25, 5, 30, 28, 12, 46, 14, 21, 47, 27, 38, 43, 8, 31, 42, 22, 36, 11, 6, 23, 0, 7, 32, 40, 41, 33, 48]"
d2f-054-50-15x15,3685,3134,3234,3640.0,3293.0,5400.000850439072,0.09532967032967032,12515386,"[23, 28, 15, 31, 29, 7, 12, 42, 19, 37, 49, 5, 32, 46, 9, 3, 6, 30, 33, 13, 45, 22, 43, 1, 44, 8, 11, 2, 20, 25, 39, 21, 14, 0, 17, 36, 48, 4, 47, 40, 24, 10, 16, 41, 34, 35, 38, 26, 27, 18]"
d2f-012-20-10x10,1709,1446,1518,1606.0,1606.0,14.760606288909912,0.0,207304,"[12, 0, 1, 19, 6, 7, 11, 8, 4, 5, 3, 18, 16, 10, 15, 9, 13, 2, 14, 17]"
d2f-009-20-7x7,1505,1424,1435,1464.0,1464.0,0.13153314590454102,0.0,1607,"[3, 14, 10, 1, 12, 8, 2, 15, 7, 11, 16, 13, 18, 6, 19, 0, 5, 9, 4, 17]"
d2f-019-20-10x10,1760,1578,1584,1683.0,1683.0,23.558581352233887,0.0,331016,"[6, 18, 3, 11, 1, 19, 7, 17, 5, 4, 0, 12, 10, 8, 15, 16, 9, 2, 13, 14]"
d2f-036-50-7x7,3134,3053,3066,3112.0,3071.0,5400.001279115677,0.013174807197943445,16961256,"[34, 27, 46, 5, 14, 44, 29, 6, 20, 43, 22, 13, 41, 4, 15, 25, 3, 1, 30, 49, 37, 2, 31, 18, 33, 28, 19, 36, 17, 39, 23, 24, 0, 35, 11, 38, 32, 47, 9, 12, 8, 40, 16, 7, 26, 10, 48, 21, 45, 42]"
d2f-029-20-15x15,2098,1796,1866,2034.0,2034.0,3855.5321407318115,0.0,24055368,"[8, 11, 14, 2, 12, 13, 0, 4, 1, 9, 15, 5, 7, 3, 18, 19, 16, 6, 17, 10]"
d2f-002-20-7x7,1409,1268,1340,1355.0,1355.0,0.24491429328918457,0.0,2949,"[1, 8, 19, 11, 17, 13, 2, 5, 15, 0, 18, 9, 7, 16, 14, 6, 12, 4, 3, 10]"
d2f-041-50-10x10,3523,3316,3476,3385.0,3385.0,31.455594301223755,0.0,205509,"[24, 15, 35, 19, 7, 37, 38, 36, 22, 46, 43, 5, 4, 40, 8, 23, 41, 45, 32, 12, 18, 10, 42, 27, 49, 25, 14, 33, 34, 11, 2, 20, 39, 17, 48, 6, 0, 21, 31, 30, 26, 28, 1, 3, 13, 16, 9, 44, 47, 29]"
d2f-024-20-15x15,2114,1751,1844,2049.0,2049.0,15.349036693572998,0.0,66410,"[16, 13, 4, 8, 14, 15, 11, 2, 19, 5, 6, 9, 0, 17, 10, 18, 1, 3, 7, 12]"
d2f-049-50-10x10,3392,3237,3244,3275.0,3275.0,92.20143175125122,0.0,321028,"[16, 24, 34, 40, 14, 47, 46, 6, 49, 32, 23, 22, 3, 30, 2, 42, 28, 15, 27, 4, 37, 38, 0, 35, 12, 41, 17, 31, 11, 25, 8, 19, 13, 48, 45, 9, 29, 7, 26, 1, 43, 20, 33, 44, 18, 5, 21, 39, 10, 36]"
d2f-035-50-7x7,2852,2672,2688,2747.0,2747.0,56.4533007144928,0.0,480292,"[28, 9, 12, 48, 2, 17, 35, 34, 13, 5, 23, 8, 47, 30, 29, 15, 37, 7, 36, 21, 11, 3, 16, 14, 44, 4, 19, 32, 40, 38, 22, 39, 18, 20, 33, 46, 1, 49, 25, 31, 43, 41, 6, 0, 24, 27, 45, 10, 42, 26]"
