group,arpd_neh,arpd_neh_ls,arpd_multistart,arpd_iga
1,3.97,2.44,0.61,0.16
2,4.86,2.87,0.4,0.32
3,4.71,2.65,0.41,0.33
4,2.67,1.69,0.6,0.21
5,4.99,3.31,1.36,0.76
6,5.16,3.3,0.53,-0.64
