name,execution_time,lower_bound,status,nodes
ta001,0.001991748809814453,1278.0,2,85
ta002,0.296889066696167,1359.0,2,26019
ta003,0.0026962757110595703,1081.0,2,21
ta004,0.002096414566040039,1293.0,2,16
ta005,0.7889196872711182,1235.0,2,82199
ta006,0.0033462047576904297,1195.0,2,58
ta007,0.0004928112030029297,1234.0,2,1
ta008,0.0012216567993164062,1206.0,2,21
ta009,0.004853963851928711,1230.0,2,454
ta010,0.0006148815155029297,1108.0,2,5
ta011,2.6512537002563477,1582.0,2,183654
ta012,1.7529664039611816,1659.0,2,109364
ta013,4.382736682891846,1496.0,2,170845
ta014,0.5280563831329346,1377.0,2,41096
ta015,0.5877864360809326,1419.0,2,39934
ta016,0.05075716972351074,1397.0,2,3568
ta017,214.48693442344666,1484.0,2,9857028
ta018,1.8913300037384033,1538.0,2,125451
ta019,0.02544260025024414,1593.0,2,1667
ta020,4.678911924362183,1591.0,2,290443
ta031,0.0027980804443359375,2724.0,2,5
ta032,0.0027785301208496094,2834.0,2,10
ta033,0.0032210350036621094,2621.0,2,21
ta034,0.00421142578125,2751.0,2,15
ta035,0.013047218322753906,2863.0,2,240
ta036,0.003957509994506836,2829.0,2,15
ta037,0.0036292076110839844,2725.0,2,7
ta038,0.0015931129455566406,2683.0,2,1
ta039,0.004220247268676758,2552.0,2,37
ta040,0.0017392635345458984,2782.0,2,2
ta041,2.177950143814087,2991.0,2,80132
ta042,142.61019659042358,2867.0,2,4132883
ta043,136.69150853157043,2839.0,2,4706113
ta044,0.04829573631286621,3063.0,2,1082
ta045,1.5392658710479736,2976.0,2,46396
ta046,0.0073621273040771484,3006.0,2,77
ta047,55.26410722732544,3093.0,2,1548521
ta048,0.014249563217163086,3037.0,2,287
ta049,0.9487199783325195,2897.0,2,29661
ta050,169.47853064537048,3065.0,2,5792698
