name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
dpm-012-20-5x9,1717,1486,1610,1704,1704,2222.219465494156,0.0,56421453,"[4, 18, 5, 13, 3, 8, 17, 0, 9, 16, 11, 7, 1, 10, 14, 2, 6, 15, 19, 12]"
dpm-013-20-5x9,1642,1514,1514,1637,1637,42.43801736831665,0.0,1701661,"[6, 14, 2, 17, 9, 16, 5, 8, 12, 0, 1, 13, 4, 10, 15, 7, 18, 11, 3, 19]"
dpm-014-20-5x9,1665,1519,1526,1645,1645,7.189476728439331,0.0,264439,"[10, 1, 18, 5, 6, 19, 8, 7, 4, 12, 16, 13, 9, 11, 2, 0, 14, 17, 3, 15]"
dpm-015-20-5x9,1609,1478,1505,1604,1604,80.79049468040466,0.0,2500097,"[16, 4, 7, 10, 0, 11, 6, 18, 15, 12, 13, 8, 1, 17, 19, 3, 14, 5, 2, 9]"
dpm-016-20-5x9,1663,1559,1559,1659,1659,1.7911458015441895,0.0,80766,"[7, 1, 8, 17, 2, 19, 0, 15, 14, 11, 10, 16, 13, 5, 12, 9, 3, 4, 18, 6]"
dpm-017-20-5x9,1625,1584,1584,1615,1615,2.1444737911224365,0.0,85807,"[17, 14, 5, 11, 6, 12, 13, 3, 16, 19, 8, 18, 15, 4, 10, 0, 1, 2, 9, 7]"
dpm-018-20-5x9,1643,1455,1505,1642,1642,17.661297082901,0.0,656393,"[16, 5, 3, 18, 13, 6, 15, 4, 0, 19, 17, 8, 2, 7, 10, 1, 12, 9, 11, 14]"
dpm-019-20-5x9,1663,1623,1623,1663,1663,0.8271722793579102,0.0,29589,"[7, 15, 9, 12, 6, 17, 16, 2, 19, 4, 10, 1, 11, 14, 18, 3, 13, 5, 8, 0]"
dpm-020-20-5x9,1606,1476,1507,1598,1598,4.5426976680755615,0.0,175283,"[10, 18, 0, 4, 17, 5, 12, 2, 11, 3, 13, 1, 7, 9, 8, 19, 6, 16, 15, 14]"
dpm-021-20-5x14,1989,1661,1839,1983,1983,1931.9823698997498,0.0,28637265,"[10, 0, 18, 14, 17, 15, 19, 3, 5, 6, 7, 4, 8, 13, 12, 1, 2, 9, 16, 11]"
dpm-022-20-5x14,2059,1832,1858,2056,2056,13.824742317199707,0.0,263105,"[6, 19, 10, 0, 13, 9, 2, 12, 11, 7, 17, 1, 14, 5, 3, 8, 18, 15, 16, 4]"
dpm-023-20-5x14,2057,1863,1863,2052,2052,380.01677680015564,0.0,8054805,"[10, 2, 15, 16, 13, 9, 12, 3, 14, 5, 8, 18, 4, 17, 0, 1, 11, 19, 6, 7]"
dpm-024-20-5x14,1956,1718,1751,1939,1939,101.27245736122131,0.0,2120153,"[11, 13, 10, 14, 8, 6, 1, 17, 15, 5, 4, 7, 12, 0, 18, 16, 2, 19, 3, 9]"
dpm-025-20-5x14,2026,1697,1797,2012,2012,457.5657937526703,0.0,11553437,"[18, 1, 2, 6, 17, 7, 3, 14, 5, 12, 9, 19, 0, 11, 10, 15, 16, 8, 13, 4]"
dpm-026-20-5x14,2047,1898,1926,2045,2045,14.143013954162598,0.0,342938,"[19, 11, 4, 17, 13, 14, 16, 10, 9, 3, 18, 2, 0, 7, 15, 1, 6, 8, 5, 12]"
dpm-027-20-5x14,2048,1755,1755,2040,2040,325.79481291770935,0.0,7464615,"[10, 8, 11, 3, 13, 1, 17, 19, 5, 4, 14, 9, 15, 0, 2, 12, 16, 7, 6, 18]"
dpm-028-20-5x14,2080,1916,1961,2061,2061,788.5587775707245,0.0,4895579,"[9, 17, 8, 0, 1, 5, 15, 19, 2, 16, 6, 11, 13, 3, 7, 18, 12, 10, 4, 14]"
dpm-029-20-5x14,1967,1827,1862,1964,1964,29.69384455680847,0.0,687505,"[6, 2, 1, 9, 14, 19, 0, 17, 13, 7, 15, 18, 8, 11, 16, 3, 5, 4, 10, 12]"
dpm-030-20-5x14,2058,1657,1817,2053,1878,3600.000331401825,0.08524111056989771,64754391,"[10, 12, 16, 11, 17, 4, 7, 3, 9, 19, 14, 15, 13, 5, 0, 1, 6, 2, 18, 8]"
dpm-031-50-5x6,3165,2934,2965,2994,2994,1901.245207309723,0.0,55841957,"[8, 35, 49, 30, 5, 39, 36, 38, 41, 3, 28, 42, 48, 1, 12, 32, 23, 15, 4, 34, 20, 6, 17, 11, 0, 16, 19, 22, 43, 27, 40, 45, 29, 31, 26, 21, 13, 44, 18, 9, 7, 24, 46, 2, 37, 33, 25, 14, 47, 10]"
dpm-032-50-5x6,3125,3004,3010,3085,3085,0.06550884246826172,0.0,434,"[4, 13, 3, 49, 5, 12, 10, 18, 22, 35, 1, 29, 44, 23, 34, 42, 45, 28, 38, 40, 43, 14, 24, 7, 27, 2, 46, 8, 32, 15, 48, 19, 30, 26, 37, 9, 20, 41, 36, 0, 6, 16, 31, 47, 21, 17, 33, 25, 39, 11]"
dpm-033-50-5x6,3251,3036,3050,3078,3078,11.556518077850342,0.0,349447,"[10, 24, 48, 32, 5, 31, 0, 17, 46, 9, 43, 30, 7, 45, 38, 12, 29, 4, 26, 21, 33, 3, 2, 8, 25, 23, 11, 34, 36, 39, 16, 22, 15, 28, 42, 14, 20, 40, 1, 41, 13, 49, 6, 35, 37, 27, 44, 18, 19, 47]"
dpm-034-50-5x6,2997,2879,2912,2941,2941,136.2281515598297,0.0,2109461,"[20, 19, 8, 28, 36, 10, 7, 25, 2, 11, 45, 47, 13, 43, 22, 41, 3, 1, 30, 4, 0, 26, 27, 35, 29, 31, 12, 42, 44, 23, 38, 40, 37, 49, 33, 48, 32, 16, 21, 15, 46, 9, 39, 5, 18, 17, 14, 34, 24, 6]"
dpm-035-50-5x6,2876,2794,2794,2802,2802,0.07722139358520508,0.0,238,"[9, 26, 13, 48, 40, 30, 47, 45, 6, 34, 3, 44, 29, 2, 21, 14, 20, 5, 22, 11, 39, 38, 33, 4, 19, 17, 46, 23, 1, 27, 37, 25, 49, 16, 32, 24, 0, 36, 41, 15, 43, 31, 28, 18, 7, 8, 35, 10, 42, 12]"
dpm-036-50-5x6,2974,2926,2926,2926,2926,0.006493568420410156,0.0,0,"[1, 9, 4, 48, 30, 17, 26, 32, 21, 2, 49, 45, 5, 20, 16, 11, 0, 13, 12, 28, 15, 25, 23, 31, 36, 35, 24, 41, 33, 27, 19, 39, 40, 38, 7, 8, 3, 42, 6, 10, 34, 18, 37, 46, 44, 29, 47, 14, 43, 22]"
dpm-037-50-5x6,3099,3091,3091,3091,3091,0.0040738582611083984,0.0,0,"[12, 49, 47, 3, 16, 44, 40, 22, 4, 36, 21, 28, 35, 33, 38, 0, 24, 8, 2, 5, 34, 48, 15, 27, 25, 11, 10, 23, 42, 46, 31, 37, 13, 9, 30, 17, 29, 45, 1, 32, 7, 18, 20, 41, 26, 39, 43, 6, 19, 14]"
dpm-038-50-5x6,3129,3063,3063,3078,3078,0.5442464351654053,0.0,10129,"[30, 21, 34, 11, 32, 20, 38, 8, 45, 37, 5, 28, 35, 39, 12, 36, 13, 18, 41, 23, 17, 4, 16, 26, 15, 33, 43, 10, 22, 27, 42, 7, 2, 24, 44, 40, 46, 31, 0, 19, 49, 9, 48, 47, 3, 14, 25, 6, 1, 29]"
dpm-039-50-5x6,3207,3011,3019,3113,3113,20.790661573410034,0.0,440989,"[41, 11, 2, 5, 12, 45, 9, 31, 20, 33, 47, 25, 49, 18, 28, 37, 30, 19, 22, 3, 14, 46, 24, 40, 4, 38, 8, 1, 36, 43, 39, 17, 27, 23, 29, 6, 48, 26, 35, 15, 42, 32, 0, 21, 7, 10, 16, 13, 34, 44]"
dpm-040-50-5x6,2992,2898,2906,2906,2906,1.4064078330993652,0.0,57686,"[13, 18, 9, 44, 35, 39, 43, 46, 40, 5, 41, 11, 47, 12, 19, 4, 1, 14, 37, 30, 23, 16, 20, 27, 38, 21, 29, 6, 7, 36, 8, 28, 26, 32, 24, 48, 49, 34, 25, 45, 10, 42, 3, 22, 15, 31, 2, 0, 17, 33]"
dpm-041-50-5x9,3424,3424,3424,3424,3424,2.592571973800659,0.0,0,"[1, 21, 31, 39, 5, 2, 35, 40, 42, 0, 22, 32, 8, 45, 18, 23, 11, 49, 20, 43, 4, 10, 38, 6, 7, 25, 46, 34, 29, 33, 15, 17, 24, 28, 41, 26, 27, 36, 14, 37, 9, 19, 16, 12, 13, 48, 44, 47, 30, 3]"
dpm-042-50-5x9,3093,2920,2989,3024,3024,256.1637156009674,0.0,7011492,"[40, 10, 24, 20, 34, 39, 11, 46, 16, 12, 21, 38, 4, 19, 43, 8, 2, 30, 25, 32, 44, 48, 28, 22, 1, 0, 45, 5, 42, 14, 9, 37, 49, 3, 47, 35, 29, 17, 27, 13, 18, 36, 7, 23, 26, 6, 41, 15, 31, 33]"
dpm-043-50-5x9,3108,3066,3066,3080,3080,13.706170797348022,0.0,267493,"[0, 49, 10, 17, 7, 38, 40, 25, 37, 34, 29, 14, 4, 1, 42, 30, 5, 33, 23, 47, 19, 9, 13, 43, 12, 46, 45, 31, 20, 44, 11, 16, 21, 2, 8, 32, 35, 15, 48, 28, 18, 27, 39, 6, 26, 41, 22, 36, 3, 24]"
dpm-044-50-5x9,3204,3077,3077,3133,3133,278.816614151001,0.0,6493138,"[26, 33, 29, 19, 27, 43, 22, 42, 34, 8, 46, 25, 14, 28, 16, 17, 36, 38, 7, 18, 37, 23, 2, 5, 13, 6, 12, 48, 44, 4, 20, 47, 11, 45, 24, 0, 49, 41, 39, 10, 31, 40, 21, 35, 3, 9, 1, 32, 15, 30]"
dpm-045-50-5x9,3057,2915,2915,3017,3017,837.25612616539,0.0,22332023,"[15, 10, 8, 2, 46, 41, 13, 3, 33, 32, 7, 23, 22, 31, 4, 34, 18, 39, 6, 44, 49, 35, 16, 38, 21, 25, 29, 17, 42, 43, 24, 5, 36, 47, 26, 9, 11, 14, 20, 45, 48, 37, 0, 40, 19, 1, 28, 12, 30, 27]"
dpm-046-50-5x9,3190,3019,3058,3121,3096,3600.0003089904785,0.008010253123998718,82335881,"[49, 10, 40, 46, 0, 2, 27, 17, 5, 13, 22, 25, 4, 33, 44, 6, 19, 26, 23, 16, 14, 7, 8, 39, 35, 48, 3, 43, 38, 45, 11, 9, 21, 12, 24, 28, 20, 36, 32, 31, 34, 15, 41, 29, 42, 30, 47, 18, 37, 1]"
dpm-047-50-5x9,3116,3091,3091,3103,3103,21.09015917778015,0.0,411916,"[48, 37, 40, 2, 4, 16, 24, 45, 38, 39, 49, 47, 22, 32, 31, 0, 29, 30, 43, 11, 3, 25, 41, 44, 20, 35, 42, 33, 5, 10, 18, 27, 46, 15, 1, 19, 8, 13, 34, 26, 12, 17, 28, 21, 6, 36, 7, 14, 23, 9]"
dpm-048-50-5x9,3039,2934,2984,2999,2984,3600.00035905838,0.005001667222407469,90356411,"[38, 11, 28, 13, 46, 35, 42, 14, 31, 0, 8, 30, 24, 4, 34, 33, 19, 5, 36, 41, 16, 3, 17, 49, 29, 40, 2, 32, 20, 9, 37, 23, 44, 45, 1, 15, 27, 21, 22, 10, 25, 47, 6, 12, 39, 7, 43, 26, 18, 48]"
