group,n,m,lb1_ratio,lb5_ratio,gap,execution_time,nodes,solved
1,20,7,0.966,0.971,0.0,0.22,1.1e+04,10
2,20,10,0.926,0.942,0.0,5.9,2.2e+05,10
3,20,15,0.89,0.92,0.85,350.0,6.2e+06,9
4,50,7,0.988,0.991,0.0,0.98,3.4e+04,10
5,50,10,0.983,0.989,0.32,560.0,1.5e+07,7
6,50,15,0.986,0.996,5.28,3600.0,4.4e+07,0
