group,arpd_neh,arpd_neh_ls,arpd_multistart,arpd_iga
1,4.86,2.25,0.35,0.15
2,5.31,3.75,0.44,0.17
3,4.43,2.57,0.38,0.19
4,3.11,2.01,0.19,0.15
5,4.7,2.78,1.19,0.65
6,5.33,3.9,1.17,0.0
