Group,Instances,t(p),t(*),t(p) / t(*)
1,ta001-ta010,0.11000000000000001,0.13,0.73
2,ta011-ta020,23.119999999999997,26.390000000000004,0.78
4,ta031-ta040,0.0,0.0,0.62
5,ta041-ta050,50.86999999999999,108.55999999999999,0.41
