group,n,m,lb1_ratio,lb5_ratio,gap,execution_time,nodes,solved
1,20,7,0.964,0.97,0.0,0.14,2.5e+03,10
2,20,10,0.915,0.923,0.0,2.2,6.7e+04,10
3,20,15,0.882,0.908,0.73,320.0,6e+06,9
4,50,7,0.986,0.987,0.09,0.85,1.9e+04,9
5,50,10,0.98,0.984,0.8,2400.0,3.3e+07,6
6,50,15,0.981,0.983,6.4,3600.0,3.1e+07,0
